기업명,내용,키워드,경력,학력,마감일,웹사이트
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] 디지털 영상 콘텐츠 기획 경력사원 모집,"영상, 사진, 촬영, 동영상제작, 편집",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A본부] Technical Writer 경력사원 모집,"연구소, R&D, 기획, 전략, 경영",경력,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1385349
금호석유화학㈜,2021년 기술직 인턴 채용,"화학, 에너지, 환경, 생산관리, 공정관리, 품질관리, 생산, 제조, 설비, 조립",인턴·신입,고졸↑,~2021.06.18,https://www.jobkorea.co.kr/Company/1349835
LG전자㈜,[H&A사업본부] ESS 상품기획 경력 모집,"반도체, 디스플레이, 전기, 전자, 제어",경력,대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1385349
아주약품㈜,아주약품㈜ 종합병원 영업담당(MR) 경력사원 모집,"제품, 서비스영업",경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1805982
LG전자㈜,[H&A사업본부] B2B온라인 마케팅 테크놀로지(에어솔루션분야) 전문가,"마케팅, 광고, 분석",경력,대졸↑,~2021.06.16,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A사업본부] ESS분야 PMS AI SW개발 경력자 모집,"소프트웨어, 하드웨어, 연구소, R&D, ERP, 시스템분석, 설계",경력,대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1385349
아주약품㈜,아주약품㈜ 평택공장 생산계획 담당 경력사원 모집,"생산관리, 공정관리, 품질관리",경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1805982
LG전자㈜,[H&A사업본부] ESS분야 PCS HW 경력자 모집,"소프트웨어, 하드웨어, 연구소, R&D, 전기, 전자, 제어",경력,대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1385349
LG전자㈜,[H&A사업본부] 앱기획(신사업 분야) 전문가 모집,"기획, 전략, 경영, 웹기획, PM",경력,대졸↑,~2021.06.16,https://www.jobkorea.co.kr/Company/1385349
DB하이텍,HR(채용) 체험형 인턴 모집,"인사, 노무, 교육, 홍보, PR, 기획, 전략, 경영",인턴·신입,,~2021.06.27,https://www.jobkorea.co.kr/Company/1534715
㈜진합,분야별 담당 신입 및 경력사원 수시채용,"기계설계, CAD, CAM",신입·경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1971314
LG전자㈜,[H&A사업본부] 서비스기획 전문가 모집,"기획, 전략, 경영",경력,대졸↑,~2021.06.16,https://www.jobkorea.co.kr/Company/1385349
㈜티웨이항공,IT(경력/신입) 채용,"응용프로그래머, 네트워크, 서버, 보안, 시스템프로그래머",신입·경력,,~2021.06.22,https://www.jobkorea.co.kr/Company/1799383
㈜두원공조,연구직 신입/경력 채용,"ERP, 시스템분석, 설계, 연구소, R&D",신입·경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1791939
㈜코스콤,2021년 각 부문 기간제 직원 채용,"마케팅, 광고, 분석, 소프트웨어, 하드웨어, HTML, 퍼블리싱, UI개발",신입·경력,,~2021.06.24,https://www.jobkorea.co.kr/Company/1682944
㈜소니인터랙티브엔터테인먼트코리아,소프트웨어부서 업무지원 인턴 채용 (영문팀),"소프트웨어, 하드웨어, 외국어, 번역, 통역",인턴·경력무관,고졸↑,~2021.06.16,https://www.jobkorea.co.kr/Company/1592985
고려아연㈜,고려아연주식회사 온산제련소 및 관계사 안전관리 경력직 채용,"생산관리, 공정관리, 품질관리, 생산, 제조, 설비, 조립, 전기, 소방, 통신, 안전 외",경력,초대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1916482
㈜GS리테일,GS넷비전 디지털 영상 콘텐츠 제작PD 경력 채용,"마케팅, 광고, 분석, 홍보, PR, 동영상제작, 편집 외",경력,대졸↑,~2021.06.22,https://www.jobkorea.co.kr/Company/1453517
㈜GS리테일,GS넷비전 펫 전문상담 서비스 기획/운영 경력 채용,"고객상담, 인바운드, 뷰티, 미용, 애완, 기획, 전략, 경영",경력,대졸↑,~2021.06.22,https://www.jobkorea.co.kr/Company/1453517
㈜스펙업애드,(주)스펙업애드 출판부 집필팀 채용,"인쇄, 출판, 편집",경력무관,대졸↑,~2021.06.30,https://www.jobkorea.co.kr/Company/1481296
㈜스노우피크코리아,스노우피크코리아 [직영점 매장판매/카페&베이커리] 사원채용,"마케팅, 광고, 분석, 상품기획, MD, 제품, 서비스영업 외",신입·경력,초대졸↑,~2021.06.28,https://www.jobkorea.co.kr//Recruit/Co_Read/C/snowpeak1?Oem_Code=C1&PageGbn=ST
㈜메조미디어,[CJENM 자회사-메조미디어] 사업개발 및 서비스기획 경력직 채용,"웹기획, PM, 기획, 전략, 경영",경력,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1892424
CJ푸드빌㈜,[CJ푸드빌] 외식 뉴채널 영업 경력사원 모집,"제품, 서비스영업",경력,대졸↑,~2021.06.24,https://www.jobkorea.co.kr//Recruit/Co_Read/C/cjfoodvill?Oem_Code=C1&PageGbn=ST
CJ대한통운㈜,지역인재 공개모집(21년 2차수),"배송, 택배, 운송, 유통, 물류, 재고",신입,고졸↑,~2021.06.14,https://www.jobkorea.co.kr/Company/1806217
㈜네패스라웨,㈜ 네패스라웨 반도체 현장 라인 Cleaning 담당(엑셀 가능자),"사무, 총무, 법무, 자동차, 조선, 기계, 생산관리, 공정관리, 품질관리 외",신입·경력,학력무관,~2021.06.18,https://www.jobkorea.co.kr/Company/16154568
㈜세경하이테크,품질관리 신뢰성/공정품질 담당자 모집,"생산관리, 공정관리, 품질관리, 반도체, 디스플레이",경력,초대졸↑,~2021.06.30,https://www.jobkorea.co.kr/Company/16154277
경향신문,경향신문사 재경팀 경력사원 모집,"재무, 세무, IR",경력,학력무관,~2021.06.20,https://www.jobkorea.co.kr/Company/1843846
세스코,(주)세스코 연구실 기구개발/설계 경력직 채용,"기계설계, CAD, CAM, 자동차, 조선, 기계",경력,대졸↑,~2021.06.27,https://www.jobkorea.co.kr/Company/1384599
플레이디(구 엔서치마케팅),해외 마케팅 담당자 경력직 채용,"마케팅, 광고, 분석, 해외영업, 무역영업",경력무관,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1851946
플레이디(구 엔서치마케팅),[플레이디-메이블]미디어플래너 / 앱마케팅 담당자 경력직 채용,"마케팅, 광고, 분석",경력,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1851946
플레이디(구 엔서치마케팅),애드테크 개발/기획자 경력직 채용,"웹프로그래머, 응용프로그래머, DBA, 데이터베이스 외",경력,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1851946
플레이디(구 엔서치마케팅),구글광고 컨설팅 경력직 채용,"사무보조, 문서작성, 마케팅, 광고, 분석, 웹마케팅",경력,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1851946
㈜한맥기술,한맥기술 사무직 직원 모집,"사무, 총무, 법무, 사무보조, 문서작성",경력무관,고졸↑,~2021.06.30,https://www.jobkorea.co.kr/Company/1851946
㈜케이티앰엔에스,ktm&s 정규직 채용,"판매, 서빙, 매장관리",경력무관,고졸↑,~2021.09.09,https://www.jobkorea.co.kr//Recruit/Co_Read/C/yc20214?Oem_Code=C1&PageGbn=ST
한국기계연구원,2021년도 맞춤형 인력양성사업(박사인턴) 공개채용,"연구소, R&D, 자동차, 조선, 기계, 화학, 에너지, 환경",인턴·신입,박사↑,~2021.06.25,https://www.jobkorea.co.kr/Company/1721049
㈜SM엔터테인먼트,2021 2분기 정기채용,"음악, 음향, 연예, 엔터테인먼트, 기획, 전략, 경영",신입·경력,,~2021.06.22,https://www.jobkorea.co.kr/Company/1522779
㈜NAVER,[Search] 연구/개발 체험형 인턴십 모집,"빅데이터, AI(인공지능), 시스템프로그래머, ERP, 시스템분석, 설계",인턴·신입,학력무관,~2021.06.22,https://www.jobkorea.co.kr/Company/1522779
애경산업㈜,2021 경력사원 공개채용,"마케팅, 광고, 분석, 홍보, PR, 기계설계, CAD, CAM",경력,,~2021.06.28,https://www.jobkorea.co.kr/Company/1597295
나이스신용정보㈜,[나이스신용정보] 한국전자금융 기술지원팀 채용,"사무보조, 문서작성, 고객상담, 인바운드, 설치, 정비, A/S",경력,고졸↑,~2021.06.17,https://www.jobkorea.co.kr/Company/1789290
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
케이던스코리아(유),HR Intern,"반도체, 디스플레이",인턴·신입,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
대원씨티에스㈜,물류센터 담당사원 모집,"사무보조, 문서작성, 구매, 자재, 배송, 택배, 운송",신입,고졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1618844
㈜뉴옵틱스,[정규직] 품질수입검사원,"생산관리, 공정관리, 품질관리",경력무관,고졸↑,~2021.08.10,https://www.jobkorea.co.kr/Company/1791598
세스코,(주)세스코 마케팅실 그래픽디자인 경력직 모집 (5년 이상),"그래픽디자인, CG",경력,대졸↑,~2021.06.27,https://www.jobkorea.co.kr/Company/1384599
현대글로비스㈜,각 부문 경력직 채용,"경영분석, 컨설턴트, 배송, 택배, 운송, 기획, 전략, 경영",경력,대졸↑,~2021.06.21,https://www.jobkorea.co.kr/Company/1806454
인천시설공단,2021년 직원 채용,"자동차, 조선, 기계, 토목, 조경, 도시, 측량, 연구소, R&D",신입·경력,학력무관,진행예정,https://www.jobkorea.co.kr//Recruit/Co_Read/C/c-042119?Oem_Code=C1&PageGbn=ST
현대글로비스㈜,IT부문 경력직 채용,"웹기획, PM, HTML, 퍼블리싱, UI개발, 응용프로그래머",경력,대졸↑,~2021.06.21,https://www.jobkorea.co.kr/Company/1806454
애경산업㈜,2021 신입사원 수시채용,"경리, 회계, 결산, 인사, 노무, 교육, 재무, 세무, IR",신입,대졸↑,~2021.06.28,https://www.jobkorea.co.kr/Company/1597295
㈜이루온,(주)이루온 재경팀 관리회계 담당자 모집(신입/경력),"경리, 회계, 결산, 재무, 세무, IR",신입·경력,초대졸↑,~2021.06.25,https://www.jobkorea.co.kr/Company/1577512
한양이엔지㈜,자재 입출고관리 경력무관,"유통, 물류, 재고",경력무관,학력무관,~2021.06.25,https://www.jobkorea.co.kr/Company/1577512
㈜신원,(주)신원 Mark.M 상품기획MD팀 경력 채용,"섬유, 의류, 패션, 상품기획, MD",경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1575959
㈜아주화장품,화장품 회사 디자인팀 팀원 모집합니다.(신입/경력),"제품, 산업디자인, 웹디자인",신입·경력,초대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/16154034
㈜아이씨디,(주)아이씨디 기획팀 (신입/경력) 채용,"기획, 전략, 경영, 인사, 노무, 교육",신입·경력,대졸↑,~2021.06.27,https://www.jobkorea.co.kr/Company/16154617
미원상사㈜&관계사,미원상사㈜ & 관계사 각 부문 채용,"사무, 총무, 법무, 재무, 세무, IR, 해외영업, 무역영업 외",신입·경력,대졸↑,~2021.06.17,https://www.jobkorea.co.kr//Recruit/Co_Read/C/mwcinsa?Oem_Code=C1&PageGbn=ST
엠케이전자㈜,엠케이전자 재경팀 경력직 모집,"재무, 세무, IR, 경리, 회계, 결산",경력,학력무관,~2021.09.09,https://www.jobkorea.co.kr/Company/1558050
㈜디베이스앤,[CJ ENM 자회사] 디베이스앤 디지털퍼포먼스마케팅 대행사 IMC AE 경력 채용,"마케팅, 광고, 분석, 웹마케팅, 빅데이터, AI(인공지능)",경력,초대졸↑,~2021.09.09,https://www.jobkorea.co.kr//Recruit/Co_Read/C/dbase0402?Oem_Code=C1&PageGbn=ST
경기고속 [대원고속],[KD운송그룹] 지원부서 재무담당자 직원채용,"사무보조, 문서작성",경력무관,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1435012
세스코,(주)세스코 CET 품질관리(수입검사) 담당자 모집(증평근무),"생산관리, 공정관리, 품질관리",신입·경력,초대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1384599
세스코,(주)세스코 재무실 자금관리 신입사원 모집,"재무, 세무, IR",신입,대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1384599
덕지산업㈜,인사 / 총무 정규직 사원모집,"사무, 총무, 법무, 인사, 노무, 교육, 경리, 회계, 결산 외",신입·경력,대졸↑,~2021.06.19,https://www.jobkorea.co.kr/Company/1459473
㈜GS리테일,GS 리테일 디지털커머스사업본부 디자인 제작 및 운영,"광고, 시각디자인",신입·경력,대졸↑,~2021.09.09,https://www.jobkorea.co.kr/Company/1453517
세스코,(주)세스코 채용운영 담당 신입사원 모집,"인사, 노무, 교육",신입,대졸↑,~2021.06.25,https://www.jobkorea.co.kr/Company/1384599
㈜케이씨씨,2021년 대졸인턴 채용 & 경력/신입 수시채용,"기획, 전략, 경영, 경리, 회계, 결산, 재무, 세무, IR 외",인턴·신입·경력,학력무관,~2021.06.21,https://www.jobkorea.co.kr/Company/1985376
서울식품공업㈜,"냉동생지,유탕제품 영업 경력직모집","제품, 서비스영업, 영업관리, 지원, 영업기획",경력,학력무관,~2021.09.09,https://www.jobkorea.co.kr/Company/1350361
대협철강㈜,사무직 신입사원 채용,"사무보조, 문서작성",경력무관,학력무관,~2021.08.10,https://www.jobkorea.co.kr/Company/1348130
㈜승일,SUN그룹 전산직 신입사원 채용,"네트워크, 서버, 보안, 웹프로그래머, 응용프로그래머",신입,초대졸↑,~2021.06.27,https://www.jobkorea.co.kr/Company/1456234
씨제이프레시웨이,CJ프레시웨이 VOC분석 직무 경력사원 채용,"CS관리, 강의",경력,대졸↑,~2021.06.20,https://www.jobkorea.co.kr/Company/1933087
㈜YG엔터테인먼트,[YG엔터테인먼트] 뉴미디어사업(인턴) / 유튜브 콘텐츠 영문 번역 담당자,"외국어, 번역, 통역, 작가, 시나리오, 감독, 연출, PD",인턴·신입,초대졸↑,~2021.06.23,https://www.jobkorea.co.kr/Company/1492866
㈜이오테크닉스,(주)이오테크닉스 해외영업 인재 채용 (일본/중국),"홍보, PR, 해외영업, 무역영업, 제품, 서비스영업",신입·경력,학력무관,~2021.06.30,https://www.jobkorea.co.kr/Company/1486707
㈜엔엑스씨,NXLab 플랫폼 백엔드 / 프론트엔드 개발자 채용공고,응용프로그래머,경력,학력무관,~2021.07.16,https://www.jobkorea.co.kr/Company/1610786
㈜스카이이앤엠,"시설관리, 전기업무 신입 및 경력사원 채용","생산관리, 공정관리, 품질관리, 전기, 소방, 통신, 안전",신입·경력,학력무관,~2021.09.08,https://www.jobkorea.co.kr/Company/1476020
아모제푸드㈜,아모제푸드(주) 신규브랜드 관리자 채용,"요리, 영양, 제과제빵, 바리스타, 상품기획, MD",경력,초대졸↑,~2021.09.08,https://www.jobkorea.co.kr/Company/1476020
한국유나이티드제약㈜,한국유나이티드제약(주) 전문연구요원 모집,"바이오, 제약, 식품, 약사, 한약사, 약무보조",신입·경력,석사↑,~2021.06.23,https://www.jobkorea.co.kr/Company/1666701
㈜비와이엔블랙야크,(주)비와이엔블랙야크 경력사원 채용 [용품기획MD],"상품기획, MD",경력,초대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1449967
마인즈랩,AI전문기업 (주)마인즈랩 재무팀장 채용,"재무, 세무, IR",경력,대졸↑,~2021.06.24,https://www.jobkorea.co.kr/Company/1449967
태양금속공업㈜,설계팀(원가) 경력사원 채용공고,"생산관리, 공정관리, 품질관리",경력,고졸↑,~2021.06.16,https://www.jobkorea.co.kr/Company/1359743
㈜KB데이타시스템,[KB데이타시스템] 응용SW운영 경력직원 모집,응용프로그래머,경력,학력무관,~2021.06.16,https://www.jobkorea.co.kr/Company/1359743
㈜아워홈,인테리어 및 주방설비 경력사원 채용,"생산관리, 공정관리, 품질관리, 건축, 설계, 인테리어, 기계설계, CAD, CAM 외",경력,학력무관,~2021.06.20,https://www.jobkorea.co.kr/Company/1601550
㈜아워홈,식품 패키징 포장개발 경력채용,"그래픽디자인, CG, 제품, 산업디자인, 생산관리, 공정관리, 품질관리",경력,대졸↑,~2021.06.27,https://www.jobkorea.co.kr/Company/1601550
㈜해안종합건축사사무소,(주)해안건축 건축기사 모집,"시공, 현장, 감리, 공무",경력무관,대졸↑,~2021.06.30,https://www.jobkorea.co.kr//Recruit/Co_Read/C/haeahn1?Oem_Code=C1&PageGbn=ST
